identity_id,image_path,cosine_sim,asr,ssim,psnr
Fernando_Henrique_Cardoso,results/phase2/robustness/downsample/Fernando_Henrique_Cardoso_0005_cloaked.png,0.688059,0,0.953363,37.3320
Fernando_Henrique_Cardoso,results/phase2/robustness/downsample/Fernando_Henrique_Cardoso_0006_cloaked.png,0.634533,0,0.960368,38.5488
Fernando_Henrique_Cardoso,results/phase2/robustness/downsample/Fernando_Henrique_Cardoso_0007_cloaked.png,0.643476,0,0.944183,35.5165
George_Pataki,results/phase2/robustness/downsample/George_Pataki_0005_cloaked.png,0.483573,0,0.956710,37.6740
George_W_Bush,results/phase2/robustness/downsample/George_W_Bush_0439_cloaked.png,0.658158,0,0.949014,35.6968
Gerry_Adams,results/phase2/robustness/downsample/Gerry_Adams_0001_cloaked.png,0.499190,0,0.957853,36.2827
Gerry_Adams,results/phase2/robustness/downsample/Gerry_Adams_0004_cloaked.png,0.794755,0,0.952750,34.5784
Gil_de_Ferran,results/phase2/robustness/downsample/Gil_de_Ferran_0003_cloaked.png,0.662015,0,0.968287,37.0594
Gil_de_Ferran,results/phase2/robustness/downsample/Gil_de_Ferran_0004_cloaked.png,0.655389,0,0.964176,38.0250
Gil_de_Ferran,results/phase2/robustness/downsample/Gil_de_Ferran_0005_cloaked.png,0.338863,0,0.963997,37.5731
Gordon_Brown,results/phase2/robustness/downsample/Gordon_Brown_0004_cloaked.png,0.775435,0,0.971006,36.0555
Gray_Davis,results/phase2/robustness/downsample/Gray_Davis_0013_cloaked.png,0.485784,0,0.946840,36.9791
Gray_Davis,results/phase2/robustness/downsample/Gray_Davis_0022_cloaked.png,0.586474,0,0.967312,38.0271
Guillermo_Coria,results/phase2/robustness/downsample/Guillermo_Coria_0014_cloaked.png,0.367063,0,0.948253,34.0041
Guillermo_Coria,results/phase2/robustness/downsample/Guillermo_Coria_0017_cloaked.png,0.531032,0,0.966712,36.2520
Gwyneth_Paltrow,results/phase2/robustness/downsample/Gwyneth_Paltrow_0006_cloaked.png,0.395365,0,0.958470,33.9295
