identity_id,image_path,cosine_sim,asr,ssim,psnr
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg50/Fernando_Henrique_Cardoso_0004_cloaked.png,0.587052,0,0.941677,34.9497
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg50/Fernando_Henrique_Cardoso_0005_cloaked.png,0.677695,0,0.912718,34.3148
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg50/Fernando_Henrique_Cardoso_0006_cloaked.png,0.448266,0,0.923082,35.6130
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg50/Fernando_Henrique_Cardoso_0007_cloaked.png,0.653250,0,0.925930,34.9679
George_Pataki,results/phase2/robustness/jpeg50/George_Pataki_0005_cloaked.png,0.430219,0,0.923998,35.5134
George_W_Bush,results/phase2/robustness/jpeg50/George_W_Bush_0439_cloaked.png,0.577551,0,0.929133,34.7636
Gerry_Adams,results/phase2/robustness/jpeg50/Gerry_Adams_0001_cloaked.png,0.509029,0,0.934647,34.7981
Gerry_Adams,results/phase2/robustness/jpeg50/Gerry_Adams_0004_cloaked.png,0.724036,0,0.942551,34.2348
Gil_de_Ferran,results/phase2/robustness/jpeg50/Gil_de_Ferran_0003_cloaked.png,0.606156,0,0.947973,35.7930
Gil_de_Ferran,results/phase2/robustness/jpeg50/Gil_de_Ferran_0004_cloaked.png,0.508750,0,0.937435,35.8310
Gil_de_Ferran,results/phase2/robustness/jpeg50/Gil_de_Ferran_0005_cloaked.png,0.421716,0,0.929648,35.4891
Gordon_Brown,results/phase2/robustness/jpeg50/Gordon_Brown_0004_cloaked.png,0.715747,0,0.950184,34.9384
Gray_Davis,results/phase2/robustness/jpeg50/Gray_Davis_0013_cloaked.png,0.478708,0,0.907741,34.8744
Gray_Davis,results/phase2/robustness/jpeg50/Gray_Davis_0022_cloaked.png,0.516929,0,0.935806,35.4721
Guillermo_Coria,results/phase2/robustness/jpeg50/Guillermo_Coria_0014_cloaked.png,0.351936,0,0.925750,34.3910
Guillermo_Coria,results/phase2/robustness/jpeg50/Guillermo_Coria_0017_cloaked.png,0.379482,0,0.941308,35.0847
Gwyneth_Paltrow,results/phase2/robustness/jpeg50/Gwyneth_Paltrow_0006_cloaked.png,0.350713,0,0.939685,33.4546
Harrison_Ford,results/phase2/robustness/jpeg50/Harrison_Ford_0001_cloaked.png,0.556003,0,0.933533,33.4256
Hitomi_Soga,results/phase2/robustness/jpeg50/Hitomi_Soga_0001_cloaked.png,0.491132,0,0.927628,35.2720
Holly_Hunter,results/phase2/robustness/jpeg50/Holly_Hunter_0004_cloaked.png,0.595121,0,0.947856,35.9700
Howard_Dean,results/phase2/robustness/jpeg50/Howard_Dean_0012_cloaked.png,0.503839,0,0.925693,34.5028
Hu_Jintao,results/phase2/robustness/jpeg50/Hu_Jintao_0010_cloaked.png,0.532207,0,0.915918,34.5525
